ID	Race
hu016B28	White
hu025CEA	White
hu040C0A	White
hu04DF3C	White
hu04F220	White
hu050E9C	
hu0515BA	White
hu05F442	
hu05FD49	White
hu089792	White
hu0A4518	White
hu0A6570	
hu0C0779	
hu0C1563	
hu0CF2EE	American Indian or Alaska Native
hu0D1FA1	White
hu0D2DBE	
hu0E64A1	White
hu11603C	
hu1187FF	White
hu1213DA	
hu132B5C	White
hu155D20	
hu19C09F	White
hu241DEA	White
hu259AC7	White
hu263CFD	White
hu26B551	White
hu27FD1F	White
hu28391C	
hu2843C9	
hu297562	White
hu2A4D22	
hu2C1D94	White
hu2D53F2	White
hu2D6140	White
hu2DBF2D	White
hu2E413D	White
hu2FEC01	White
hu3116C3	
hu33E2D9	White
hu342A08	White
hu34D5B9	
hu35071E	White
hu38168C	Asian
hu394092	White
hu3C86DB	
hu3CAB43	White
hu3DDADF	
hu3EEE3A	
hu3EFFEE	White
hu3F864B	Hispanic/Latino
hu432EB5	
hu4339C0	
hu443DE9	
hu448C4B	
hu44DCFF	White
hu474789	
hu48C4EB	White
hu49F623	Black or African American
hu4B0812	White
hu4BE6F2	White
hu4BF398	White
hu4C04A0	
hu4CA5B9	White
hu4F8813	White
hu524B5B	White
hu52B7E5	White
hu52E130	White
hu553620	White
hu57A769	White
hu57C8BE	
hu589D0B	White
hu599905	White
hu5BB600	
hu5CABA7	
hu5CD2C6	White
hu5DE8CD	White
hu5E55F5	
hu5FCE15	
hu60180F	White
hu602487	White
hu604D39	Black or African American
hu60AB7C	
hu619F51	White
hu620F18	White
hu64DBF7	White
hu687B6B	White
hu68929D	American Indian or Alaska Native
hu691E67	Caucasian (White)
hu6C733E	White
hu6E4515	White
hu7123C1	
hu72A81D	White
hu766CAD	
hu76CAA5	
hu775356	White
hu77CC58	White
hu7852C5	White
hu786B4C	
hu79E3C7	
hu7A2F1D	White
hu7A4AD1	White
hu7B594C	
hu7DCBF9	White
hu8073B9	White
hu816A0B	
hu8229AE	White
hu82436A	White
hu85E6EC	
hu868880	White
hu8A5FBF	
hu8D1A62	White
hu8D6607	
hu8E2A35	White
hu8E87A9	White
hu90B053	White
hu919BBA	
hu925B56	
hu92C40A	American Indian or Alaska Native
hu92F252	White
hu92FD55	Asian
hu939B7C	White
hu955EE1	American Indian or Alaska Native
hu96713F	White
hu96D41E	White
hu998A3D	
hu9E6329	White
hu9FEC32	White
huA02824	White
huA05317	White
huA0E089	White
huA27736	
huA33758	American Indian or Alaska Native
huA49E22	White
huA4E2CF	White
huA4F281	White
huA90CE6	White
huA939D6	White
huAA16BD	
huAA245C	White
huAA53E0	White
huAB47EB	
huAD225A	
huAEADC0	White
huAEC1B0	
huAFA81C	
huB1FD55	White
huB4883B	White
huB4940E	
huB5A0DF	
huBA30D4	White
huBAAC98	White
huBC964C	White
huC14AE1	White
huC29627	
huC3160A	
huC5733C	
huC7388D	
huC92BC9	White
huCA017E	Asian
huCD380F	White
huCFD853	
huD00199	White
huD09534	White
huD10E53	White
huD14602	
huD34AB0	
huD37D14	White
huD52556	White
huD58ABC	White
huD5C574	
huD81F3D	White
huD86870	
huDB1635	White
huDBD591	White
huDBF9DD	White
huDD1522	
huDE435D	White
huDF04CC	White
huE2E371	White
huE58004	White
huE86317	White
huE8E4FC	White
huEA045B	
huEA4EE5	Hispanic/Latino
huEBD467	White
huEC6EEC	Hispanic or Latino
huED0F40	
huEDF7DA	
huF0B9DB	
huF2DA6F	White
huF5AD12	White
huF5E0B6	White
huF80F84	White
huF974A8	White
huF9E172	
huFAA0CF	
huFCC1C1	White
huFE71F3	White
huFE9B93	
huFFAD87	White
